Agavendicksaft;500 ml;500;ml;Sonst.
Ananas;1 Stck.;1;St.;Obst
Apfelmus a.d. Glas;1 Stck.;500;g;Getr.
Apfelsaft;1 l;1000;ml;Sonst.
Aprikosen;1 kg;1000;g;Obst
Aprikosenkonfitüre;1 Stck.;1;St.;Sonst.
Backpulver;Päckchen;4;St.;Sonst.
Baguette;1 Stck.;1;St.;Grund.
Bananen;1 kg;1000;g;Obst
Bandnudeln;1 Pfd.;500;g;Grund.
Basilikum;Bund;1;St.;Gewürz
Basmatireis;1 Pfd.;500;g;Getr.
Birnen;1 kg;1000;g;Obst
Blaubeeren;1 kg;1000;g;Obst
Blumenkohl;1 Stck.;1;St.;Gemüse
Broccoli;1 kg;1000;g;Gemüse
Buchstabennudeln;1 Pfd.;500;g;Grund.
Buchweizen;1 Pfd.;500;g;Getr.
Bulgur;1 Pfd.;500;g;Grund.
Butter;250 g;250;g;Milch
Buttermilch;1 l;500;ml;Milch
Butterschmalz;1 Stck.;250;g;Milch
Champignons;1 kg;1000;g;Gemüse
Chinakohl;1 kg;1000;g;Gemüse
Clementinen;1 kg;1000;g;Obst
Couscous;1 Pfd.;500;g;Getr.
Creme fraiche;150 g;150;g;Milch
Curcuma (Gelbwurz);;0;;Gewürz
Curry;;0;;Gewürz
Dill;g;0;;Gewürz
Dinkelvollkornmehl;1 kg;1000;g;Grund.
Doppelrahmfrischkäse;200 g Packung;200;g;Milch
Eier;10 Stck.;10;St.;Grund.
Eisbergsalat;1 Stck.;1;St.;Gemüse
Erdbeeren;1 kg;1000;g;Obst
Essig;1 Flasche;500;ml;Sonst.
Estragon;Bund;1;St.;Gewürz
Feldsalat;1 kg;1000;g;Gemüse
Fenchel;1 kg;1000;g;Gemüse
Feta;1 Stck.;200;g;Milch
Fladenbrote;1 Stck.;1;St.;Sonst.
frische Kräuter;;0;;Gewürz
Frühlingszwiebeln;Bund;1;;Gemüse
Gekörnte Brühe;1 Glas;1;Pckg.;Sonst.
gelbe Linsen;1 Pfd.;500;g;Getr.
geschälte Tomaten (Dose);400g Dose;400;g;Gemüse
Gnocchi;1 Pfd.;500;g;Sonst.
Gouda;100 g;100;g;Milch
Grieß;1 kg;1000;g;Getr.
Gruyère-Käse;1 kg;1000;g;Milch
Grünkern;1 Pfd.;500;g;Getr.
Gurken;1 Stck.;1;St.;Gemüse
Haferflocken;1 Pfd.;500;g;Getr.
Haselnüsse, gehackt;Packung;200;g;Sonst.
Haselnüsse, gemahlen;Packung;200;g;Sonst.
Himbeeren, frisch;1 kg;1000;g;Obst
Himbeermarmelade;Glas;1;St.;Sonst.
Hirse;1 Pfd.;500;g;Getr.
Honig ;Glas;500;g;Sonst.
Ingwer;1 Stck.;1;St.;Gewürz
